0,true,{{-1/1,0/1,0/1,0/1,1/1},{0/1,-1/1,0/1,0/1,1/1},{0/1,0/1,-1/1,0/1,1/1},{0/1,0/1,0/1,-1/1,1/1},{0/1,0/1,0/1,0/1,1/1}},false
1,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
2,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
3,false,{},false
4,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
5,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,0/1,-1/1}},false
6,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
7,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
8,false,{},false
9,true,{{1/1,0/1,-1/1,-1/1,0/1},{0/1,1/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-3/1,-3/1,-1/1}},false
10,false,{},false
11,true,{{1/1,0/1,-1/1,-1/1,0/1},{0/1,1/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-3/1,-3/1,-1/1}},false
12,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,0/1,-1/1}},false
13,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,0/1,-1/1}},false
14,false,{},false
15,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,0/1,-1/1}},false
16,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,0/1,-1/1}},false
17,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
18,false,{},false
19,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
20,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
21,false,{},false
22,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
23,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-3/1,-1/1,-1/1}},false
24,false,{},false
25,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
26,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-3/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-2/1,0/1,-1/1}},false
27,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
28,false,{},false
29,false,{},false
30,false,{},false
